"Day","Items","Note","Amount"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"84","Salary Expense","Cash Payment - Salary Expense","(26218)"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14864","(200)"
"84","Sales E Commerce","Revenue - E-Commerce Sales","8659"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15061","(300)"
"84","Sales E Commerce","Revenue - E-Commerce Sales","14198"
"84","Retail","Revenue - Retail Sales New York - Mouthwash","5642"
"84","Retail","Revenue - Retail Sales New York - Body Wash","6615"
"84","Retail","Revenue - Retail Sales New York - Shampoo","18081"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","448"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1054"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1575"
"84","Retail","Revenue - Retail Sales Chicago - Mouthwash","1054"
"84","Retail","Revenue - Retail Sales Chicago - Shampoo","2340"
"84","Retail","Revenue - Retail Sales San Francisco - Mouthwash","192"
"84","Retail","Revenue - Retail Sales San Francisco - Body Wash","372"
"84","Retail","Revenue - Retail Sales San Francisco - Shampoo","756"
"84","Rental Expense","Cash Payment - RentalNew York","(8040)"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(792)"
"84","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"84","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"84","Rental Expense","Cash Payment - RentalChicago","(1480)"
